1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
66,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,"5,741",100.00%,,,"15,028",5.19%,,,,,,
68,AK,Alaska,0,H2AK00176,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,"5,589",1.93%,,,,,,
69,AK,Alaska,0,n/a,,,Scattered,Scattered,,W,,,,,964,0.33%,,,,,,
74,AS,American Samoa,0,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,,,,,"7,221",55.22%,,,,,W,
75,AS,American Samoa,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,CON,,,,,"4,420",33.80%,,,,,,
76,AS,American Samoa,0,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,IND,,,,,697,5.33%,,,,,,
77,AS,American Samoa,0,H2AS00055,,"Kereti, Jr.",Mata'utia,"Mata'utia, Kereti, Jr.",,D,,,,,438,3.35%,,,,,,
78,AS,American Samoa,0,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",,NPA,,,,,300,2.29%,,,,,,
84,AZ,Arizona,1,H8AZ01104,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"33,831",63.74%,,,"122,774",48.80%,,,,,W,
87,AZ,Arizona,1,H0AZ08056,,Jonathan,Paton,"Paton, Jonathan",,R,"28,644",60.86%,,,"113,594",45.15%,,,,,,
92,AZ,Arizona,1,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB)/LIB,97,100.00%,,,"15,227",6.05%,,,,,,
96,AZ,Arizona,2,H2AZ08094,(I),Ron ,Barber,"Barber, Ron ",,D,"51,206",82.03%,,,"147,338",50.41%,,,,,W,
100,AZ,Arizona,2,H2AZ08102,,Martha ,McSally,"McSally, Martha ",,R,"52,809",81.70%,,,"144,884",49.57%,,,,,,
103,AZ,Arizona,2,H2AZ08045,,Anthony,Prowell,"Prowell, Anthony",,W,,,,,57,0.02%,,,,,,
106,AZ,Arizona,3,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,"24,044",65.63%,,,"98,468",58.37%,,,,,W,
110,AZ,Arizona,3,H2AZ07146,,Gabriela,Saucedo Mercer,"Saucedo Mercer, Gabriela",,R,"12,474",65.32%,,,"62,663",37.15%,,,,,,
113,AZ,Arizona,3,H2AZ03145,,Blanca,Guerra,"Guerra, Blanca",,LIB,116,100.00%,,,"7,567",4.49%,,,,,,
117,AZ,Arizona,4,H0AZ01259,(I),Raul,Gosar,"Gosar, Raul",,R,"40,033",51.35%,,,"162,907",66.83%,,,,,W,
121,AZ,Arizona,4,H2AZ04150,,Johnnie,Robinson,"Robinson, Johnnie",,D,"10,183",50.05%,,,"69,154",28.37%,,,,,,
124,AZ,Arizona,4,H2AZ04176,,Joe,Pamelia,"Pamelia, Joe",,LIB,189,100.00%,,,"9,306",3.82%,,,,,,
126,AZ,Arizona,4,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(AE)/AE,11,100.00%,,,"2,393",0.98%,,,,,,
130,AZ,Arizona,5,H4AZ01038,,Matt,Salmon,"Salmon, Matt",,R,"41,078",51.85%,,,"183,470",67.19%,,,,,W,
133,AZ,Arizona,5,H2AZ05140,,Spencer,Morgan,"Morgan, Spencer",,D,"19,659",100.00%,,,"89,589",32.81%,,,,,,
137,AZ,Arizona,6,H4AZ06045,(I),David,Schweikert,"Schweikert, David",,R,"41,821",51.48%,,,"179,706",61.30%,,,,,W,
140,AZ,Arizona,6,H2AZ06171,,Matt,Jette,"Jette, Matt",,D,"12,383",51.91%,,,"97,666",33.31%,,,,,,
143,AZ,Arizona,6,H2AZ06189,,Jack,Anderson,"Anderson, Jack",,LIB,287,100.00%,,,"10,167",3.47%,,,,,,
145,AZ,Arizona,6,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,2,100.00%,,,"5,637",1.92%,,,,,,
147,AZ,Arizona,6,n/a,,James,Ketover,"Ketover, James",,W,,,,,1,0.00%,,,,,,
150,AZ,Arizona,7,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"22,664",79.03%,,,"104,489",81.74%,,,,,W,
153,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,162,100.00%,,,"23,338",18.26%,,,,,,
159,AZ,Arizona,8,H4AZ04024,(I),Trent ,Franks,"Franks, Trent ",,R,"57,257",83.17%,,,"172,809",63.35%,,,,,W,
163,AZ,Arizona,8,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,"24,510",100.00%,,,"95,635",35.06%,,,,,,
165,AZ,Arizona,8,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,AE,34,100.00%,,,"4,347",1.59%,,,,,,
169,AZ,Arizona,9,H2AZ09019,,Kyrsten,Sinema,"Sinema, Kyrsten",,D,"15,536",40.78%,,,"121,881",48.73%,,,,,W,
173,AZ,Arizona,9,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,R,"11,184",22.46%,,,"111,630",44.63%,,,,,,
181,AZ,Arizona,9,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,90,100.00%,,,"16,620",6.64%,,,,,,
203,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,"138,800",56.23%,,,,,W,
204,AR,Arkansas,1,H2AR01071,,Scott,Ellington,"Ellington, Scott",,D,"27,936",49.53%,"10,028",50.74%,"96,601",39.13%,,,,,,
208,AR,Arkansas,1,H2AR01089,,Jessica,Paxton,"Paxton, Jessica",,LIB,,,,,"6,427",2.60%,,,,,,
209,AR,Arkansas,1,H2AR01097,,Jacob,Holloway,"Holloway, Jacob",,GRE,,,,,"5,015",2.03%,,,,,,
212,AR,Arkansas,2,H0AR02107,(I),Tim ,Griffin,"Griffin, Tim ",,R,Unopposed,,,,"158,175",55.19%,,,,,W,
213,AR,Arkansas,2,H2AR02053,,Herb,Rule,"Rule, Herb",,D,Unopposed,,,,"113,156",39.48%,,,,,,
214,AR,Arkansas,2,H2AR02079,,Barbara,Ward,"Ward, Barbara",,GRE,,,,,"8,566",2.99%,,,,,,
215,AR,Arkansas,2,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,,,,,"6,701",2.34%,,,,,,
218,AR,Arkansas,3,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,"186,467",75.90%,,,,,W,
220,AR,Arkansas,3,H2AR03259,,Rebekah,Kennedy,"Kennedy, Rebekah",,GRE,,,,,"39,318",16.01%,,,,,,
221,AR,Arkansas,3,H2AR03267,,David,Pangrac,"Pangrac, David",,LIB,Unopposed,,,,"19,875",8.09%,,,,,,
224,AR,Arkansas,4,H2AR04083,,Tom,Cotton,"Cotton, Tom",,R,"20,899",57.55%,,,"154,149",59.53%,,,,,W,
228,AR,Arkansas,4,H2AR04109,,Gene,Jeffress,"Jeffress, Gene",,D,"23,848",43.02%,"15,266",60.67%,"95,013",36.69%,,,,,,
232,AR,Arkansas,4,H2AR04141,,Bobby,Tullis,"Tullis, Bobby",,LIB,,,,,"4,984",1.92%,,,,,,
233,AR,Arkansas,4,H8AR04098,,J. Joshua,Drake,"Drake, J. Joshua",,GRE,,,,,"4,807",1.86%,,,,,,
240,CA,California,1,H2CA02142,,Doug,La Malfa,"La Malfa, Doug",,R,"66,527",37.93%,,,"168,827",57.38%,,,,,W,
241,CA,California,1,H0CA02138,,Jim,Reed,"Reed, Jim",,D,"43,409",24.75%,,,"125,386",42.62%,,,,,,
250,CA,California,2,H2CA06259,,Jared ,Huffman,"Huffman, Jared ",,D,"63,922",37.49%,,,"226,216",71.24%,,,,,W,
251,CA,California,2,H0CA06121,,Daniel W.,Roberts,"Roberts, Daniel W.",,R,"25,635",15.03%,,,"91,310",28.76%,,,,,,
264,CA,California,3,H0CA10149,(I),John ,Garamendi,"Garamendi, John ",,D,"59,546",51.47%,,,"126,882",54.23%,,,,,W,
265,CA,California,3,H2CA03090,,Kim ,Vann,"Vann, Kim ",,R,"30,254",26.15%,,,"107,086",45.77%,,,,,,
271,CA,California,4,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,"114,311",64.79%,,,"197,803",61.11%,,,,,W,
272,CA,California,4,H2CA04114,,Jack ,Uppal,"Uppal, Jack ",,D,"62,130",35.21%,,,"125,885",38.89%,,,,,,
275,CA,California,5,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,D,"95,748",72.20%,,,"202,872",74.47%,,,,,W,
276,CA,California,5,H2CA05095,,Randy,Loftin,"Loftin, Randy",,R,"22,137",16.69%,,,"69,545",25.53%,,,,,,
280,CA,California,6,H6CA05195,(I),Doris ,Matsui,"Matsui, Doris ",,D,"67,174",71.40%,,,"160,667",75.05%,,,,,W,
281,CA,California,6,H2CA06291,,"Joseph, Sr.",McRay,"McRay, Joseph, Sr.",,R,"15,647",16.63%,,,"53,406",24.95%,,,,,,
285,CA,California,7,H0CA03078,,Ami ,Bera,"Bera, Ami ",,D,"49,433",41.00%,,,"141,241",51.68%,,,,,W,
286,CA,California,7,H6CA34112,(I),Dan,Lungren,"Lungren, Dan",,R,"63,586",52.73%,,,"132,050",48.32%,,,,,,
291,CA,California,8,H2CA08164,,Paul ,Cook,"Cook, Paul ",,R,"12,517",15.29%,,,"103,093",57.39%,,,,,W,
292,CA,California,8,H2CA41116,,Gregg,Imus,"Imus, Gregg",,R,"12,754",15.58%,,,"76,551",42.61%,,,,,,
306,CA,California,9,H4CA11081,(I),Jerry ,McNerney,"McNerney, Jerry ",,D,"45,696",47.78%,,,"118,373",55.55%,,,,,W,
307,CA,California,9,H2CA11135,,Ricky ,Gill,"Gill, Ricky ",,R,"38,488",40.24%,,,"94,704",44.45%,,,,,,
311,CA,California,10,H0CA19173,(I),Jeff,Denham,"Denham, Jeff",,R,"45,779",49.24%,,,"110,265",52.71%,,,,,W,
312,CA,California,10,H2CA10145,,Jose,Hernandez,"Hernandez, Jose",,D,"26,072",28.04%,,,"98,934",47.29%,,,,,,
318,CA,California,11,H6CA07043,(I),George ,Miller,"Miller, George ",,D,"76,163",58.49%,,,"200,743",69.73%,,,,,W,
319,CA,California,11,H8CA07031,,Virginia,Fuller,"Fuller, Virginia",,R,"40,333",30.97%,,,"87,136",30.27%,,,,,,
324,CA,California,12,H8CA05035,(I),Nancy ,Pelosi,"Pelosi, Nancy ",,D,"89,446",74.88%,,,"253,709",85.08%,,,,,W,
325,CA,California,12,H0CA08069,,John ,Dennis,"Dennis, John ",,R,"16,206",13.57%,,,"44,478",14.92%,,,,,,
332,CA,California,13,H8CA09060,(I),Barbara ,Lee,"Lee, Barbara ",,D,"94,709",83.11%,,,"250,436",86.78%,,,,,W,
333,CA,California,13,H2CA13099,,Marilyn M.,Singleton,"Singleton, Marilyn M.",,NOP,"13,502",11.85%,,,"38,146",13.22%,,,,,,
337,CA,California,14,H8CA12171,(I),Jackie ,Speier,"Speier, Jackie ",,D,"80,850",74.34%,,,"203,828",78.92%,,,,,W,
338,CA,California,14,H2CA14139,,Deborah (Debbie),Bacigalupi,"Bacigalupi, Deborah (Debbie)",,R,"23,299",21.42%,,,"54,455",21.08%,,,,,,
342,CA,California,15,H2CA15094,,Eric,Swalwell,"Swalwell, Eric",,D,"34,347",36.19%,,,"120,388",52.11%,,,,,W,
343,CA,California,15,H6CA09023,(I),Fortney Pete ,Stark,"Stark, Fortney Pete ",,D,"39,943",42.09%,,,"110,646",47.89%,,,,,,
347,CA,California,16,H4CA20082,(I),Jim,Costa,"Costa, Jim",,D,"25,355",42.67%,,,"84,649",57.41%,,,,,W,
348,CA,California,16,H2CA16092,,Brian Daniel ,Whelan,"Whelan, Brian Daniel ",,R,"15,053",25.33%,,,"62,801",42.59%,,,,,,
354,CA,California,17,H0CA15148,(I),Mike ,Honda,"Honda, Mike ",,D,"60,252",66.70%,,,"159,392",73.54%,,,,,W,
355,CA,California,17,H2CA17090,,Evelyn ,Li,"Li, Evelyn ",,R,"24,916",27.58%,,,"57,336",26.46%,,,,,,
359,CA,California,18,H8CA12098,(I),Anna G.,Eshoo,"Eshoo, Anna G.",,D,"86,851",61.46%,,,"212,831",70.49%,,,,,W,
360,CA,California,18,H0CA14075,,Dave ,Chapman,"Chapman, Dave ",,R,"42,174",29.85%,,,"89,103",29.51%,,,,,,
365,CA,California,19,H4CA16049,(I),Zoe ,Lofgren,"Lofgren, Zoe ",,D,"60,726",65.18%,,,"162,300",73.24%,,,,,W,
366,CA,California,19,H2CA19112,,Robert ,Murray,"Murray, Robert ",,R,"21,421",22.99%,,,"59,313",26.76%,,,,,,
371,CA,California,20,H4CA17021,(I),Sam,Farr,"Farr, Sam",,D,"68,895",64.37%,,,"172,996",74.07%,,,,,W,
372,CA,California,20,H8CA17089,,Jeff,Taylor,"Taylor, Jeff",,R,"23,905",22.34%,,,"60,566",25.93%,,,,,,
380,CA,California,21,H2CA20094,,David G.,Valadao,"Valadao, David G.",,R,"27,251",56.99%,,,"67,164",57.76%,,,,,W,
381,CA,California,21,H0CA19082,,John ,Hernandez,"Hernandez, John ",,D,"10,575",22.12%,,,"49,119",42.24%,,,,,,
385,CA,California,22,H8CA20059,(I),Devin G.,Nunes,"Nunes, Devin G.",,R,"67,386",70.58%,,,"132,386",61.88%,,,,,W,
386,CA,California,22,H2CA22140,,Otto,Lee,"Lee, Otto",,D,"28,091",29.42%,,,"81,555",38.12%,,,,,,
389,CA,California,23,H6CA22125,(I),Kevin ,McCarthy,"McCarthy, Kevin ",,R,"71,109",72.16%,,,"158,161",73.22%,,,,,W,
390,CA,California,23,H2CA23122,,Terry ,Phillips,"Phillips, Terry ",,NOP,"17,018",17.27%,,,"57,842",26.78%,,,,,,
394,CA,California,24,H8CA22089,(I),Lois,Capps,"Capps, Lois",,D,"72,356",46.36%,,,"156,749",55.10%,,,,,W,
395,CA,California,24,H2CA23106,,Abel,Maldonado,"Maldonado, Abel",,R,"46,295",29.66%,,,"127,746",44.90%,,,,,,
400,CA,California,25,H2CA25036,(I),"Howard P. ""Buck""",McKeon,"McKeon, Howard P. ""Buck""",,R,"39,997",50.54%,,,"129,593",54.78%,,,,,W,
401,CA,California,25,H2CA25143,,Lee C.,Rogers,"Rogers, Lee C.",,D,"23,542",29.75%,,,"106,982",45.22%,,,,,,
406,CA,California,26,H2CA00120,,Julia ,Brownley,"Brownley, Julia ",,D,"29,892",26.89%,,,"139,072",52.69%,,,,,W,
407,CA,California,26,H2CA26109,,Tony ,Strickland,"Strickland, Tony ",,R,"49,043",44.12%,,,"124,863",47.31%,,,,,,
414,CA,California,27,H0CA32101,(I),Judy ,Chu,"Chu, Judy ",,D,"50,203",57.78%,,,"154,191",63.98%,,,,,W,
415,CA,California,27,H2CA27198,,Jack ,Orswell,"Orswell, Jack ",,R,"20,868",24.02%,,,"86,817",36.02%,,,,,,
419,CA,California,28,H0CA27085,(I),Adam,Schiff,"Schiff, Adam",,D,"42,797",59.00%,,,"188,703",76.49%,,,,,W,
420,CA,California,28,H0CA33133,,Phil ,Jennerjahn,"Jennerjahn, Phil ",,R,"12,633",17.41%,,,"58,008",23.51%,,,,,,
428,CA,California,29,H2CA28113,,Tony ,Cárdenas,"Cárdenas, Tony ",,D,"24,882",64.39%,,,"111,287",74.05%,,,,,W,
429,CA,California,29,H2CA28097,,David R. ,Hernandez,"Hernandez, David R. ",,NOP,"8,382",21.69%,,,"38,994",25.95%,,,,,,
433,CA,California,30,H6CA24113,(I),Brad,Sherman,"Sherman, Brad",,D,"40,589",42.35%,,,"149,456",60.30%,,,,,W,
434,CA,California,30,H2CA26026,(I),Howard L.,Berman,"Berman, Howard L.",,D,"31,086",32.44%,,,"98,395",39.70%,,,,,,
442,CA,California,31,H8CA41063,(I),Gary G. ,Miller,"Miller, Gary G. ",,R,"16,708",26.66%,,,"88,964",55.18%,,,,,W,
443,CA,California,31,H2CA31133,,Bob,Dutton,"Dutton, Bob",,R,"15,557",24.82%,,,"72,255",44.82%,,,,,,
450,CA,California,32,H8CA34068,(I),Grace F.,Napolitano,"Napolitano, Grace F.",,D,"24,094",46.10%,,,"124,903",65.70%,,,,,W,
451,CA,California,32,H0CA26087,,David L.,Miller,"Miller, David L.",,R,"21,843",41.80%,,,"65,208",34.30%,,,,,,
455,CA,California,33,H6CA24048,(I),Henry A. ,Waxman,"Waxman, Henry A. ",,D,"51,235",45.32%,,,"171,860",53.96%,,,,,W,
456,CA,California,33,H2CA33147,,Bill,Bloomfield,"Bloomfield, Bill",,NOP,"27,850",24.63%,,,"146,660",46.04%,,,,,,
465,CA,California,34,H2CA30143,(I),Xavier ,Becerra,"Becerra, Xavier ",,D,"27,939",77.31%,,,"120,367",85.62%,,,,,W,
466,CA,California,34,H2CA34061,,Stephen C.,Smith,"Smith, Stephen C.",,R,"5,793",16.03%,,,"20,223",14.38%,,,,,,
470,CA,California,35,H2CA35118,,Gloria Negrete,McLeod,"McLeod, Gloria Negrete",,D,"12,425",36.35%,,,"79,698",55.86%,,,,,W,
471,CA,California,35,H6CA42099,(I),Joe,Baca,"Baca, Joe",,D,"15,388",45.01%,,,"62,982",44.14%,,,,,,
475,CA,California,36,H2CA36439,,Raul ,Ruiz,"Ruiz, Raul ",,D,"37,847",41.90%,,,"110,189",52.94%,,,,,W,
476,CA,California,36,H8CA44034,(I),Mary Bono,Mack,"Mack, Mary Bono",,R,"52,474",58.10%,,,"97,953",47.06%,,,,,,
479,CA,California,37,H0CA33117,(I),Karen R.,Bass,"Bass, Karen R.",,D,"54,345",99.91%,,,"207,039",86.42%,,,,,W,
480,CA,California,37,H2CA37270,,Morgan,Osborne,"Osborne, Morgan",,W(R)/R,36,0.07%,,,"32,541",13.58%,,,,,,
485,CA,California,38,H2CA39078,(I),Linda T.,Sánchez,"Sánchez, Linda T.",,D,"33,223",56.03%,,,"145,280",67.54%,,,,,W,
486,CA,California,38,H2CA38237,,Benjamin ,Campos,"Campos, Benjamin ",,R,"13,363",22.53%,,,"69,807",32.46%,,,,,,
490,CA,California,39,H6CA39020,(I),Ed ,Royce,"Royce, Ed ",,R,"62,874",66.26%,,,"145,607",57.79%,,,,,W,
491,CA,California,39,H2CA39136,,Jay ,Chen,"Chen, Jay ",,D,"28,457",29.99%,,,"106,360",42.21%,,,,,,
495,CA,California,40,H2CA33048,(I),Lucille ,Roybal-Allard,"Roybal-Allard, Lucille ",,D,"16,596",65.41%,,,"73,940",58.89%,,,,,W,
496,CA,California,40,H0CA34099,,David ,Sanchez,"Sanchez, David ",,D,"8,777",34.59%,,,"51,613",41.11%,,,,,,
499,CA,California,41,H2CA43245,,Mark,Takano,"Takano, Mark",,D,"20,860",36.66%,,,"103,578",58.97%,,,,,W,
500,CA,California,41,H2CA43377,,John ,Tavaglione,"Tavaglione, John ",,R,"25,379",44.60%,,,"72,074",41.03%,,,,,,
506,CA,California,42,H2CA37023,(I),Ken,Calvert,"Calvert, Ken",,R,"35,392",51.34%,,,"130,245",60.59%,,,,,W,
507,CA,California,42,H8CA42210,,Michael ,Williamson,"Williamson, Michael ",,D,"9,860",14.30%,,,"84,702",39.41%,,,,,,
514,CA,California,43,H4CA23011,(I),Maxine,Waters,"Waters, Maxine",,D,"36,062",65.42%,,,"143,123",71.24%,,,,,W,
515,CA,California,43,H2CA43385,,Bob,Flores,"Flores, Bob",,D,"19,061",34.58%,,,"57,771",28.76%,,,,,,
518,CA,California,44,H8CA36097,(I),Janice,Hahn,"Hahn, Janice",,D,"24,843",60.06%,,,"99,909",60.22%,,,,,W,
519,CA,California,44,H8CA37137,(I),Laura ,Richardson,"Richardson, Laura ",,D,"16,523",39.94%,,,"65,989",39.78%,,,,,,
522,CA,California,45,H6CA48039,(I),John ,Campbell,"Campbell, John ",,R,"54,346",51.01%,,,"171,417",58.46%,,,,,W,
523,CA,California,45,H2CA48087,,Sukhee,Kang,"Kang, Sukhee",,D,"35,182",33.02%,,,"121,814",41.54%,,,,,,
527,CA,California,46,H6CA46033,(I),Loretta ,Sanchez,"Sanchez, Loretta ",,D,"25,706",52.09%,,,"95,694",63.87%,,,,,W,
528,CA,California,46,H2CA46107,,Jerry ,Hayden,"Hayden, Jerry ",,R,"14,571",29.53%,,,"54,121",36.13%,,,,,,
534,CA,California,47,H2CA00104,,Alan ,Lowenthal,"Lowenthal, Alan ",,D,"27,356",33.80%,,,"130,093",56.56%,,,,,W,
535,CA,California,47,H2CA47105,,Gary,DeLong,"DeLong, Gary",,R,"23,831",29.44%,,,"99,919",43.44%,,,,,,
544,CA,California,48,H8CA42061,(I),Dana,Rohrabacher,"Rohrabacher, Dana",,R,"73,302",66.30%,,,"177,144",60.98%,,,,,W,
545,CA,California,48,H2CA48095,,Ron ,Varasteh,"Varasteh, Ron ",,D,"31,912",28.86%,,,"113,358",39.02%,,,,,,
549,CA,California,49,H0CA48024,(I),Darrell,Issa,"Issa, Darrell",,R,"71,329",61.09%,,,"159,725",58.16%,,,,,W,
550,CA,California,49,H2CA49218,,Jerry ,Tetalman,"Tetalman, Jerry ",,D,"35,816",30.68%,,,"114,893",41.84%,,,,,,
555,CA,California,50,H8CA52052,(I),Duncan D. ,Hunter,"Hunter, Duncan D. ",,R,"76,818",67.41%,,,"174,838",67.69%,,,,,W,
556,CA,California,50,H2CA50158,,David B.,Secor,"Secor, David B.",,D,"19,142",16.80%,,,"83,455",32.31%,,,,,,
562,CA,California,51,H2CA50026,,Juan,Vargas,"Vargas, Juan",,D,"30,143",46.02%,,,"113,934",71.48%,,,,,W,
563,CA,California,51,H8CA53019,,Michael,Crimmins,"Crimmins, Michael",,R,"13,016",19.87%,,,"45,464",28.52%,,,,,,
571,CA,California,52,H2CA52089,,Scott,Peters,"Peters, Scott",,D,"34,106",22.59%,,,"151,451",51.18%,,,,,W,
572,CA,California,52,H4CA49032,(I),Brian ,Bilbray,"Bilbray, Brian ",,R,"61,930",41.02%,,,"144,459",48.82%,,,,,,
583,CA,California,53,H0CA49055,(I),Susan A.,Davis,"Davis, Susan A.",,D,"70,462",57.81%,,,"164,825",61.43%,,,,,W,
584,CA,California,53,H0CA51036,,Nick ,Popaditch,"Popaditch, Nick ",,R,"51,423",42.19%,,,"103,482",38.57%,,,,,,
619,CO,Colorado,1,H6CO01141,(I),Diana,DeGette,"DeGette, Diana",,D,"37,072",100.00%,,,"237,579",68.23%,,,,,W,
621,CO,Colorado,1,H2CO01124,,Danny,Stroud,"Stroud, Danny",,R,"11,936",65.07%,,,"93,217",26.77%,,,,,,
624,CO,Colorado,1,H2CO01140,,Frank,Atwood,"Atwood, Frank",,LIB,,,,,"12,585",3.61%,,,,,,
625,CO,Colorado,1,H2CO02080,,Gary,Swing,"Swing, Gary",,GRE,,,,,"4,829",1.39%,,,,,,
626,CO,Colorado,1,H2CO01157,,Thomas Henry,Juniel,"Juniel, Thomas Henry",,W,,,,,18,0.01%,,,,,,
629,CO,Colorado,2,H8CO02137,(I),Jared,Polis,"Polis, Jared",,D,"36,097",100.00%,,,"234,758",55.69%,,,,,W,
631,CO,Colorado,2,H2CO02148,,Kevin,Lundberg,"Lundberg, Kevin",,R,"21,547",53.29%,,,"162,639",38.58%,,,,,,
634,CO,Colorado,2,H2CO02155,,Randy,Luallin,"Luallin, Randy",,LIB,,,,,"13,770",3.27%,,,,,,
635,CO,Colorado,2,H2CO02163,,Susan P.,Hall,"Hall, Susan P.",,GRE,,,,,"10,413",2.47%,,,,,,
638,CO,Colorado,3,H6CO03139,(I),Scott R.,Tipton,"Tipton, Scott R.",,R,"48,465",100.00%,,,"185,291",53.31%,,,,,W,
640,CO,Colorado,3,H2CO03138,,Sal,Pace,"Pace, Sal",,D,"33,970",100.00%,,,"142,920",41.12%,,,,,,
642,CO,Colorado,3,H2CO03146,,Tisha T.,Casida,"Casida, Tisha T.",,UN,,,,,"11,125",3.20%,,,,,,
