id,position,track
1924326,B5,"Superfly"
10518427,A1,"Diving Woman"
10518427,A2,"Road Head"
10518427,A3,"Machinist"
10518427,A4,"Planetary Ambience"
10518427,A5,"Soft Sounds From Another Planet"
10518427,A6,"Boyish"
10518427,B1,"12 Steps"
10518427,B2,"Jimmy Fallon Big!"
10518427,B3,"The Body Is A Blade"
10518427,B4,"Till Death"
10518427,B5,"This House"
10518427,B6,"Here Come The Tubular Bells"
213156,A1,"Troubles, Heartaches & Sadness"
213156,A2,"Let's Straighten It Out"
213156,A3,"I'll Never Grow Old"
213156,A4,"The Masquerade Is Over"
213156,B1,"Groovin'"
213156,B2,"You Ought To Be With Me"
213156,B3,"You're All I Need To Get By"
213156,B4,"If You Think It (You May As Well Do It)"
213156,B5,"Nautilus"
213156,C1,"Gotta Find A New World"
213156,C2,"Little Ghetto Boy (Live)"
213156,C3,"Could I Be Falling In Love"
213156,C4,"After Laughter (Comes Tears)"
213156,C5,"Ain't No Sunshine"
213156,D1,"In The Rain"
213156,D2,"The Way We Were"
213156,D3,"Motherless Child"
213156,D4,"Children Don't Get Weary"
213156,D5,"Mellow Mood (Part 1)"
1312950,A1,"Get Innocuous!"
1312950,A2,"Time To Get Away"
1312950,B1,"North American Scum"
1312950,B2,"Someone Great"
1312950,C1,"All My Friends"
1312950,C2,"Us V Them"
1312950,D1,"Watch The Tapes"
1312950,D2,"Sound Of Silver"
1312950,D3,"New York, I Love You But You're Bringing Me Down"
1432894,A1,"Stronger Than Me"
1432894,A2.1,"You Sent Me Flying"
1432894,A2.2,"Cherry"
1432894,A3,"Know You Now"
1432894,A4,"Fuck Me Pumps"
1432894,A5,"I Heard Love Is Blind"
1432894,A6.1,"Moody's Mood For Love"
1432894,A6.2,"Teo Licks"
1432894,A7,"(There Is) No Greater Love"
1432894,A8,"In My Bed"
1432894,B1,"Take The Box"
1432894,B2,"October Song"
1432894,B3,"What Is It About Men?"
1432894,B4,"Help Yourself"
1432894,B5.1,"Amy Amy Amy"
1432894,B5.2,"Outro"
1432894,B5.3,"Brother"
1432894,B5.4,"Mr Magic (Through The Smoke)"
1361007,A1,"Flume"
1361007,A2,"Lump Sum"
1361007,A3,"Skinny Love"
1361007,A4,"The Wolves (Act I And II)"
1361007,B1,"Blindsided"
1361007,B2,"Creature Fear"
1361007,B3,"Team"
1361007,B4,"For Emma"
1361007,B5,"Re: Stacks"
2940876,A1,"Perth"
2940876,A2,"Minnesota, WI"
2940876,A3,"Holocene"
2940876,A4,"Towers"
2940876,A5,"Michicant"
2940876,B1,"Hinnom, TX"
2940876,B2,"Wash."
2940876,B3,"Calgary"
2940876,B4,"Lisbon, OH"
2940876,B5,"Beth/Rest"
8971083,A1,"Intern"
8971083,A2,"Never Be Mine"
8971083,A3,"Shut Up Kiss Me"
8971083,A4,"Give it Up"
8971083,A5,"Not Gonna Kill You"
8971083,A6,"Heart Shaped Face"
8971083,B1,"Sister"
8971083,B2,"Those Were The Days"
8971083,B3,"Woman"
8971083,B4,"Pops"
9118910,A1,"22 (Over Soon)"
9118910,A2,"10 Death Breast ⚄ ⚄"
9118910,A3,"715 - Creeks"
9118910,A4,"33 “God”"
9118910,A5,"29 #Strafford Apts"
9118910,B1,"666 ʇ"
9118910,B2,"21 Moon Water"
9118910,B3,"8 (Circle)"
9118910,B4,"____45_____"
9118910,B5,"1000000 Million"
8003028,A1,"Midnight Marauders Tour Guide"
8003028,A2,"Steve Biko (Stir It Up)"
8003028,A3,"Award Tour ft. Trugoy The Dove"
8003028,A4,"8 Million Stories"
8003028,A5,"Sucka Nigga"
8003028,A6,"Midnight ft. Raphael Wiggins"
8003028,A7,"We Can Get Down"
8003028,B1,"Electric Relaxation"
8003028,B2,"Clap Your Hands"
8003028,B3,"Oh My God ft. Busta Rhymes"
8003028,B4,"Keep It Rollin' ft. Large Professor"
8003028,B5,"The Chase, Part II ft. Consequence (2)"
8003028,B6,"Lyrics To Go"
8003028,B7,"God Lives Through"
2427653,A1,"Think (Duet)"
2427653,A2,"I Want To Be Around"
2427653,A3,"That's Life"
2427653,A4,"Kansas City"
2427653,B1,"Let Yourself Go"
2427653,B2,"There Was A Time"
2427653,B3,"I Feel All Right"
2427653,B4,"Cold Sweat"
2427653,C1,"It May Be The Last Time"
2427653,C2,"I Got You (I Feel Good)"
2427653,C3,"Prisoner Of Love"
2427653,C4,"Try Me"
2427653,C5,"Bring It Up"
2427653,D1,"It's A Man's, Man's, Man's World"
2427653,D2,"Medley"
2427653,D3,"Please, Please, Please"
203315,A1,"You May Die (Intro)"
203315,A2,"Two Dope Boyz (In A Cadillac)"
203315,A3,"ATLiens"
203315,A4,"Wheelz Of Steel"
203315,B1,"Jazzy Belle"
203315,B2,"Elevators (Me & You)"
203315,B3,"Ova Da Wudz"
203315,C1,"Babylon"
203315,C2,"Wailin"
203315,C3,"Mainstream"
203315,D1,"Decatur Psalm"
203315,D2,"Millenium"
203315,D3,"E.T. (Extraterrestrial)"
203315,D4,"13th Floor / Growing Old"
203315,D5,"Elevators (ONP 86 Mix)"
4818970,A1,"Hold On, Be Strong"
4818970,A2,"Return Of The "G""
4818970,A3,"Rosa Parks"
4818970,A4,"Skew It On The Bar-B ft. Raekwon"
4818970,B1,"Aquemini"
4818970,B2,"Synthesizer ft. George Clinton"
4818970,B3,"Slump"
4818970,C1,"West Savannah"
4818970,C2,"Da Art Of Storytellin' (Pt. 1)"
4818970,C3,"Da Art Of Storytellin' (Pt. 2)"
4818970,D1,"Mamacita"
4818970,D2,"SpottieOttieDopalicious"
4818970,E1,"Y'all Scared ft. T-Mo Goodie"
4818970,E2,"Chonkyfire"
4818970,F1,"Nathaniel"
4818970,F2,"Liberation ft. Cee-Lo"
2288696,A1,"Bring Da Ruckus"
2288696,A2,"Shame On A Nigga"
2288696,A3,"Clan In Da Front"
2288696,A4,"Wu-Tang: 7th Chamber"
2288696,A5,"Can It Be All So Simple"
2288696,A6,"Protect Ya Neck (Intermission)"
2288696,B1,"Da Mystery Of Chessboxin'"
2288696,B2,"Wu-Tang Clan Ain't Nuthing Ta F' Wit"
2288696,B3,"C.R.E.A.M."
2288696,B4,"Method Man"
2288696,B5,"Tearz"
2288696,B6,"Wu-Tang: 7th Chamber - Part II (Conclusion)"
7753856,A1,"Supplier"
7753856,A2,"Scarface"
7753856,A3," Deeper"
7753856,A4,"High ft. Danny Brown (2)"
7753856,A5,"Harold's"
7753856,B1,"Bomb ft. Raekwon"
7753856,B2,"Shitsville"
7753856,B3,"Thuggin'"
7753856,B4,"Real"
7753856,B5,"Uno"
7753856,C1,"Robes ft. Earl Sweatshirt"
7753856,C2,"Broken ft. Scarface (3)"
7753856,C3,"Lakers ft. Polyester (3)"
7753856,D1,"Knicks"
7753856,D2,"Shame ft. Bj The Chicago Kid"
7753856,D3,"Watts ft. Big Time Watts"
7753856,D4,"Piñata ft. Sulaiman (3)"
8679649,A1,"Fill In The Blank"
8679649,A2,"Vincent"
8679649,B1,"Destroyed By Hippie Powers"
8679649,B2,"(Joe Gets Kicked Out Of School For Using) Drugs With Friends (But Says This Isn't A Problem)"
8679649,B3,"Not What I Needed"
8679649,B4,"Drunk Drivers / Killer Whales"
8679649,C1,"1937 State Park"
8679649,C2,"Unforgiving Girl (She's Not An)"
8679649,C3,"Cosmic Hero"
8679649,D1,"The Ballad Of The Costa Concordia"
8679649,D2,"Connect The Dots (The Saga Of Frank Sinatra)"
8679649,D3,"Joe Goes To School"
2173833,A1,"The King Of Carrot Flowers, Pt. One"
2173833,A2,"The King Of Carrot Flowers, Pts. Two & Three"
2173833,A3,"In The Aeroplane Over The Sea"
2173833,A4,"Two-Headed Boy"
2173833,A5,"The Fool"
2173833,A6,"Holland, 1945"
2173833,A7,"Communist Daughter"
2173833,B1,"Oh Comely"
2173833,B2,"Ghost"
2173833,B3,"Untitled"
2173833,B4,"Two-Headed Boy, Pt. Two"
2673671,A1,"Chinatown"
2673671,A2,"Blue Eyes"
2673671,A3,"Savage Night At The Opera"
2673671,A4,"Suicide Demo For Kara Walker"
2673671,B1,"Poor In Love"
2673671,B2,"Kaputt"
2673671,B3,"Downtown"
2673671,B4,"Song For America"
2673671,D1,"Bay Of Pigs (Detail)"
6148737,A1,"Can't Do Without You"
6148737,A2,"Silver"
6148737,A3,"All I Ever Need"
6148737,A4,"Our Love"
6148737,A5,"Dive"
6148737,B1,"Second Chance"
6148737,B2,"Julia Brightly"
6148737,B3,"Mars"
6148737,B4,"Back Home"
6148737,B5,"Your Love Will Set You Free"
3229084,A1,"Boyfriend"
3229084,A2,"Crazy For You"
3229084,A3,"The End"
3229084,A4,"Goodbye"
3229084,A5,"Summer Mood"
3229084,A6,"Our Deal"
3229084,B1,"I Want To"
3229084,B2,"When The Sun Don't Shine"
3229084,B3,"Bratty B"
3229084,B4,"Honey"
3229084,B5,"Happy"
3229084,B6,"Each And Everyday"
6812151,A1,"Elevator Operator"
6812151,A2,"Pedestrian At Best"
6812151,A3,"An Illustration Of Loneliness (Sleepless In New York)"
6812151,A4,"Small Poppies"
6812151,A5,"Depreston"
6812151,B1,"Aqua Profunda!"
6812151,B2,"Dead Fox"
6812151,B3,"Nobody Really Cares If You Don't Go To The Party"
6812151,B4,"Debbie Downer"
6812151,B5,"Kim's Caravan"
6812151,B6,"Boxing Day Blues"
214916,A1,"Bump It"
214916,A2,"Steady On The Grind"
214916,A3,"Danger"
214916,A4,"Think Twice"
214916,B1,"Woo"
214916,B2,"Back In The Day"
214916,B3,"I Want You"
214916,B4,"Love Of My Life Worldwide"
9649225,A1,"Comfy In Nautica"
9649225,A2,"Take Pills"
9649225,B,"Bros"
9649225,C,"Good Girl/Carrots"
9649225,D1,"I'm Not"
9649225,D2,"Search For Delicious"
9649225,D3,"Ponytail"
1751970,A1,"I Am Trying To Break Your Heart"
1751970,A2,"Kamera"
1751970,A3,"Radio Cure"
1751970,B1,"War On War"
1751970,B2,"Jesus, Etc."
1751970,B3,"Ashes Of American Flags"
1751970,C1,"Heavy Metal Drummer"
1751970,C2,"I'm The Man Who Loves You"
1751970,C3,"Pot Kettle Black"
1751970,D1,"Poor Places"
1751970,D2,"Reservations"
1751970,CD-1,"I Am Trying To Break Your Heart"
1751970,CD-2,"Kamera"
1751970,CD-3,"Radio Cure"
1751970,CD-4,"War On War"
1751970,CD-5,"Jesus, Etc."
1751970,CD-6,"Ashes Of American Flags"
1751970,CD-7,"Heavy Metal Drummer"
1751970,CD-8,"I'm The Man Who Loves You"
1751970,CD-9,"Pot Kettle Black"
1751970,CD-10,"Poor Places"
1751970,CD-11,"Reservations"
1907961,A1,"Can't Stand It"
1907961,A2,"She's A Jar"
1907961,A3,"A Shot In The Arm"
1907961,A4,"We're Just Friends"
1907961,B1,"I'm Always In Love"
1907961,B2,"Nothing'severgonnastandinmyway (Again)"
1907961,B3,"Pieholden Suite"
1907961,B4,"How To Fight Loneliness"
1907961,C1,"Via Chicago"
1907961,C2,"ELT"
1907961,C3,"My Darling"
1907961,C4,"When You Wake Up Feeling Old"
1907961,D1,"Summer Teeth"
1907961,D2,"In A Future Age"
1907961,D3,"Candy Floss"
1907961,D4,"A Shot In The Arm (Remix)"
1907961,CD-1,"Can't Stand It"
1907961,CD-2,"She's A Jar"
1907961,CD-3,"A Shot In The Arm"
1907961,CD-4,"We're Just Friends"
1907961,CD-5,"I'm Always In Love"
1907961,CD-6,"Nothing'severgonnastandinmyway (Again)"
1907961,CD-7,"Pieholden Suite"
1907961,CD-8,"How To Fight Loneliness"
1907961,CD-9,"Via Chicago"
1907961,CD-10,"ELT"
1907961,CD-11,"My Darling"
1907961,CD-12,"When You Wake Up Feeling Old"
1907961,CD-13,"Summer Teeth"
1907961,CD-14,"In A Future Age"
1907961,CD-15,"Candyfloss"
1222645,A1,"At Least That's What You Said"
1222645,A2,"Hell Is Chrome"
1222645,A3,"Spiders (Kidsmoke)"
1222645,B1,"Muzzle Of Bees"
1222645,B2,"Hummingbird"
1222645,B3,"Handshake Drugs"
1222645,C1,"Wishful Thinking"
1222645,C2,"Company In My Back"
1222645,C3,"I'm A Wheel"
1222645,C4,"Theologians"
1222645,D1,"Less Than You Think"
1222645,D2,"The Late Greats"
1259612,A1,"Clap Your Hands!"
1259612,A2,"Let The Cool Goddess Rust Away"
1259612,A3,"Over And Over Again (Lost And Found)"
1259612,A4,"Sunshine And Clouds (And Everything Proud)"
1259612,A5,"Details Of The War"
1259612,A6,"The Skin Of My Yellow Country Teeth"
1259612,A7,"Is This Love?"
1259612,B1,"Heavy Metal"
1259612,B2,"Blue Turning Gray"
1259612,B3,"In This Home On Ice"
1259612,B4,"Gimme Some Salt"
1259612,B5,"Upon This Tidal Wave Of Young Blood"
9861643,A1,"The Bird"
9861643,A2,"Heart Don't Stand A Chance"
9861643,A3,"The Waters ft. BJ The Chicago Kid"
9861643,A4,"The Season/ Carry Me"
9861643,B1,"Put Me Thru"
9861643,B2,"Am I Wrong ft. Schoolboy Q"
9861643,B3,"Without You ft. Rapsody (2)"
9861643,B4,"Parking Lot"
9861643,C1,"Lite Weight ft. The Free Nationals United Fellowship Choir"
9861643,C2,"Room In Here ft. The Game (2)"
9861643,C3,"Water Fall (Interluuube)"
9861643,C4,"Your Prime"
9861643,D1,"Come Down"
9861643,D2,"Silicon Valley"
9861643,D3,"Celebrate"
9861643,D4,"The Dreamer ft. Timan Family Choir"
375912,A1,"Ruby, My Dear"
375912,A2,"Trinkle, Tinkle"
375912,A3,"Off Minor"
375912,B1,"Nutty"
375912,B2,"Epistrophy"
375912,B3,"Functional"
163751,A,"There There"
163751,B1,"Paperbag Writer"
163751,B2,"Where Bluebirds Fly"
8162188,A1,"Five Years"
8162188,A2,"Soul Love"
8162188,A3,"Moonage Daydream"
8162188,A4,"Starman"
8162188,A5,"It Ain't Easy"
8162188,B1,"Lady Stardust"
8162188,B2,"Star"
8162188,B3,"Hang On To Yourself"
8162188,B4,"Ziggy Stardust"
8162188,B5,"Suffragette City"
8162188,B6,"Rock 'N' Roll Suicide"
6301074,A1,"Tough Love"
6301074,A2,"You & I (Forever)"
6301074,A3,"Cruel"
6301074,A4,"Say You Love Me"
6301074,B1,"Sweetest Song"
6301074,B2,"Kind Of...Sometimes...Maybe"
6301074,B3,"Want Your Feeling"
6301074,C1,"Pieces"
6301074,C2,"Keep On Lying"
6301074,C3,"Champagne Kisses"
6301074,C4,"Desire"
6301074,D1,"All On You"
6301074,D2,"Share It All"
6301074,D3,"The Way We Are"
6301074,D4,"Midnight Caller"
6790128,A1,"Fear Not Of Man"
6790128,A2,"Hip Hop"
6790128,A3,"Love"
6790128,A4,"Ms. Fat Booty"
6790128,B1,"Speed Law"
6790128,B2,"Do It Now ft. Busta Rhymes"
6790128,B3,"Got"
6790128,B4,"Umi Says"
6790128,C1,"New World Water"
6790128,C2,"Rock 'n' Roll"
6790128,C3,"Know That"
6790128,C4,"Climb ft. Vinia Mojica"
6790128,D1,"Brooklyn"
6790128,D2,"Habitat"
6790128,D3,"Mr. Nigga ft. Q-Tip"
6790128,D4,"Mathematics"
6790128,D5,"May - December"
6625795,A1,"Ain't That Easy"
6625795,A2,"1000 Deaths"
6625795,A3,"The Charade"
6625795,B1,"Sugah Daddy"
6625795,B2,"Really Love"
6625795,C1,"Back To the Future (Part I)"
6625795,C2,"Till It's Done (Tutu)"
6625795,C3,"Prayer"
6625795,D1,"Betray My Heart"
6625795,D2,"The Door"
6625795,D3,"Back To the Future (Part II)"
6625795,D4,"Another Life"
9485790,A1,"Do I Move You?"
9485790,A2,"Day And Night"
9485790,A3,"In The Dark"
9485790,A4,"Real Real"
9485790,A5,"My Man's Gone Now"
9485790,A6,"Backlash Blues"
9485790,B1,"I Want A Little Sugar In My Bowl"
9485790,B2,"Buck"
9485790,B3,"Since I Fell For You"
9485790,B4,"The House Of The Rising Sun"
9485790,B5,"Blues For Mama"
1355727,A1,"What Ever Happened?"
1355727,A2,"Reptilia"
1355727,A3,"Automatic Stop"
1355727,A4,"12:51"
1355727,A5,"You Talk Way Too Much"
1355727,A6,"Between Love & Hate"
1355727,B1,"Meet Me In The Bathroom"
1355727,B2,"Under Control"
1355727,B3,"The Way It Is"
1355727,B4,"The End Has No End"
1355727,B5,"I Can't Win"
1545865,A1,"Resurrection"
1545865,A2,"I Used To Love H.E.R."
1545865,A3,"Watermelon"
1545865,A4,"Book Of Life"
1545865,A5,"In My Own World (Check The Method)"
1545865,A6,"Another Wasted Nite With..."
1545865,A7,"Nuthin' To Do"
1545865,B1,"Communism"
1545865,B2,"WMOE"
1545865,B3,"Thisisme"
1545865,B4,"Orange Pineapple Juice"
1545865,B5,"Chapter 13 (Rich Man Vs. Poor Man)"
1545865,B6,"Maintaining"
1545865,B7,"Sum Shit I Wrote"
1545865,B8,"Pop's Rap"
4372862,A1,"Open"
4372862,A2,"The Fall"
4372862,A3,"Last Dance"
4372862,A4,"Verse"
4372862,A5,"Shed Some Blood"
4372862,B1,"3 Days"
4372862,B2,"One Of Those Summer Days"
4372862,B3,"Major Minor Love"
4372862,B4,"Hunger"
4372862,B5,"Woman"
1901255,A1,"The Queen Is Dead (Take Me Back To Dear Old Blighty (Medley))"
1901255,A2,"Frankly, Mr. Shankly"
1901255,A3,"I Know It's Over"
1901255,A4,"Never Had No One Ever"
1901255,A5,"Cemetry Gates"
1901255,B1,"Bigmouth Strikes Again"
1901255,B2,"The Boy With The Thorn In His Side"
1901255,B3,"Vicar In A Tutu"
1901255,B4,"There Is A Light That Never Goes Out"
1901255,B5,"Some Girls Are Bigger Than Others"
2606952,A1,"Dark Fantasy"
2606952,A2,"Gorgeous ft. Raekwon"
2606952,B1,"Power"
2606952,B2,"All Of The Lights (Interlude)"
2606952,B3,"All Of The Lights"
2606952,C,"Monster ft. Rick Ross"
2606952,D1,"So Appalled ft. Swizz Beatz"
2606952,D2,"Devil In A New Dress ft. Rick Ross"
2606952,E1,"Runaway ft. Pusha T"
2606952,E2,"Hell Of A Life"
2606952,F1,"Blame Game ft. John Legend"
2606952,F2,"Lost In The World ft. Bon Iver"
2606952,F3,"Who Will Survive In America"
8379739,A1,"Red Intro"
8379739,A2,"How Many Mics"
8379739,A3,"Ready Or Not"
8379739,A4,"Zealots"
8379739,A5,"The Beast"
8379739,B1,"Fu-Gee-La"
8379739,B2,"Family Business"
8379739,B3,"Killing Me Softly"
8379739,C1,"The Score"
8379739,C2,"The Mask"
8379739,C3,"Cowboys"
8379739,D1,"No Woman, No Cry"
8379739,D2,"Manifest / Outro"
8379739,E1,"Fu-Gee-La (Refugee Camp Remix)"
8379739,E2,"Mista Mista"
8379739,F,"Fu-Gee-La (Sly & Robbie Mix)"
8117868,A1,"Old Friends"
8117868,A2,"Cadmium"
8117868,A3,"Then Again"
8117868,A4,"Aphasia"
8117868,B5,"Visiting"
8117868,B6,"Waveform"
8117868,B7,"Size Of The Moon"
8117868,B8,"New Friends"
8596847,A1,"No Woman"
8596847,A2,"The Falls"
8596847,A3,"Golden Days"
8596847,A4,"Dave's Song"
8596847,A5,"Light Upon the Lake"
8596847,B1,"No Matter Where We Go"
8596847,B2,"On My Own"
8596847,B3,"Red Moon"
8596847,B4,"Polly"
8596847,B5,"Follow"
1172564,A1,"Psycho Killer"
1172564,A2,"Swamp"
1172564,A3,"Slippery People"
1172564,A4,"Burning Down The House"
1172564,A5,"Girlfriend Is Better"
1172564,B1,"Once In A Lifetime"
